OverallQual,GrLivArea,GarageCars,LotArea,OverallCond,BedroomAbvGr,KitchenAbvGr,SalePrice
7,1682,2,10400,6,3,1,174000
5,1214,1,10355,5,3,1,143000
7,1959,3,11070,5,5,2,171000
8,1852,3,9066,5,3,1,230000
6,1764,2,15426,5,3,1,231500
4,864,0,10500,5,3,1,115000
7,1734,2,11645,5,3,1,260000
5,1385,2,8520,4,4,1,166000
7,1501,2,10335,5,3,1,204000
5,1728,2,9100,5,6,2,125000
6,1709,2,2522,5,3,1,130000
5,875,1,6120,7,2,1,105000
7,2035,2,9505,5,3,1,222500
7,1080,0,7500,5,3,1,141000
5,1344,1,6240,4,3,1,115000
5,969,2,10356,6,3,1,122000
8,1710,3,13891,5,2,1,372402
6,1993,2,14803,5,4,1,190000
6,1252,2,13500,7,1,1,235000
6,1200,1,11340,5,4,1,125000
6,1096,0,9600,5,2,1,79000
5,1040,2,7200,7,2,1,109500
8,1968,3,12003,5,4,1,269500
7,1947,2,12552,5,3,1,254900
7,2462,2,19378,5,4,1,320000
6,1232,2,11120,6,3,1,162500
9,2668,3,13688,5,3,1,412500
7,1541,2,12182,5,3,1,220000
4,882,0,5500,6,1,1,103200
6,1616,1,5400,7,3,1,152000
5,1355,0,10106,7,4,2,127500
5,1867,1,10708,5,2,1,190000
8,2161,3,10562,5,3,1,325624
7,1720,2,8244,5,3,1,183500
8,1707,2,16669,6,2,1,228000
5,1382,2,12358,6,2,1,128500
6,1656,2,31770,5,3,1,215000
7,1767,2,5306,7,2,1,239000
6,1362,2,10197,5,3,1,163000
6,1651,2,12416,5,3,1,184000
6,2158,2,12615,7,4,1,243000
6,2060,2,10029,5,4,1,211000
5,1920,2,13650,5,4,1,172500
9,2234,3,17423,5,1,1,501837
5,968,2,8520,6,2,1,100000
6,1525,2,2117,5,3,1,177000
7,1802,1,7588,6,4,1,200100
5,1340,1,9060,6,3,1,120000
7,2082,2,11426,5,3,1,200000
5,1252,2,7438,8,3,1,127000
10,3608,3,22950,9,4,1,475000
7,1217,2,9947,5,3,1,173000
5,1656,1,10410,7,3,1,135000
5,1224,2,7018,5,2,2,153337
8,1593,2,4923,5,0,1,286000
8,2727,2,10570,8,3,1,315000
7,1479,2,7472,9,4,1,184000
7,1431,2,9017,5,3,1,192000
7,1709,2,2522,5,3,1,130000
5,864,1,7180,7,3,1,127000
6,1456,2,2280,6,3,1,148500
7,1726,3,9416,5,3,1,311872
8,3112,2,25419,4,4,1,235000
6,2229,0,5520,6,5,1,104000
8,1713,3,9591,5,3,1,274900
4,1121,2,8546,5,2,1,140000
6,1279,2,10125,6,3,1,171500
6,1310,1,7000,6,2,1,112000
6,848,2,4438,5,1,1,149000
5,1284,1,3500,7,2,1,110000
7,1442,2,11851,5,3,1,180500
5,1696,1,13673,5,3,1,143900
4,1100,1,12493,5,3,1,141000
7,2062,2,14364,5,3,1,277000
6,1092,2,8250,7,3,1,145000
5,864,0,5604,6,2,1,98000
6,1212,2,10420,5,3,1,186000
7,1852,2,8640,5,3,1,252678
5,990,2,13568,5,3,1,156000
6,1392,1,10900,7,3,1,161750
5,1236,1,10011,6,2,1,134450
7,1436,2,8450,5,3,1,210000
4,1328,1,9906,4,3,1,107000
7,1954,2,15660,9,3,1,311500
7,1248,2,3010,5,2,1,167240
7,1498,2,8990,5,2,1,204900
6,2267,2,8068,5,4,1,200000
6,1552,2,11475,6,3,1,179900
4,864,2,10500,6,2,1,97000
10,2392,3,13472,5,3,1,386250
5,1302,1,1680,5,3,1,112000
7,2520,3,9950,5,4,1,290000
6,987,1,1869,6,2,1,106000
5,912,1,8521,5,3,1,125000
7,1555,2,3182,5,2,1,192500
6,1194,1,8760,6,3,1,148000
8,2794,3,15138,5,4,1,403000
6,987,1,1680,5,2,1,94500
5,894,1,10650,6,3,1,128200
6,1960,2,7851,5,4,1,216500
6,987,1,1680,3,2,1,89500
7,1414,2,8773,5,3,1,185500
7,1744,2,9453,7,3,1,194500
8,1694,3,12030,5,3,1,318000
6,1487,1,8741,4,3,1,113000
8,1566,2,9000,5,3,1,262500
5,866,0,3880,9,2,1,110500
5,1440,1,5000,4,3,1,79000
6,1217,1,10762,6,3,1,120000
7,2110,2,8880,5,3,1,205000
7,1872,2,10400,5,3,1,241500
6,1928,1,9142,8,4,2,137000
6,1375,2,11310,5,2,1,140000
7,1668,2,11317,5,3,1,180000
6,2144,2,159000,7,4,1,277000
3,1306,0,5350,2,3,1,76500
8,1625,2,4750,5,2,1,235000
6,1640,2,8366,5,3,1,173000
6,1302,1,9350,7,3,1,158000
5,1314,1,8400,6,3,1,145000
7,2291,2,8738,5,4,1,230000
6,1728,2,8791,5,3,1,207500
7,1604,2,8814,5,3,1,220000
7,1792,2,12435,5,3,1,231500
5,882,1,12702,5,2,1,97000
6,1382,2,19296,5,3,1,176000
8,2574,3,9588,5,3,1,276000
6,1212,2,8471,7,3,1,151000
5,1316,2,5500,7,3,1,130000
5,764,2,5232,5,2,1,73000
6,1422,2,12090,6,3,1,175500
6,1511,2,11207,5,3,1,185000
5,2192,1,8400,8,4,1,179500
5,778,1,6900,6,2,1,120500
6,1113,1,7917,7,3,1,148000
8,1939,3,10728,5,3,1,266000
7,1363,2,39104,7,2,1,241500
8,2270,3,11764,7,4,1,290000
6,1632,1,9600,6,3,1,139000
5,816,1,8314,7,2,1,124500
7,1548,2,7264,7,3,1,205000
7,1560,2,9196,5,3,1,201000
4,864,2,19138,5,2,1,141000
9,2121,3,14450,5,3,1,415298
7,2022,2,10005,5,4,1,192000
7,1982,2,11287,6,3,1,228500
6,1262,2,7200,5,2,1,185000
7,1314,2,5063,5,2,1,207500
8,1468,3,9612,5,3,1,244600
6,1575,2,8012,5,2,1,179200
7,1250,2,4251,5,2,1,164700
6,1734,2,9786,7,3,1,159000
4,858,0,8125,4,3,1,88000
5,900,1,9819,5,3,1,122000
6,1396,1,8730,7,3,1,153575
8,1919,2,15611,5,3,1,233230
5,1716,0,5687,6,6,1,135900
5,1716,1,11409,4,3,1,131000
7,2263,2,16659,7,3,1,235000
6,1644,2,9600,5,3,1,167000
6,1003,2,7937,6,3,1,142500
5,1558,1,13710,5,4,1,152000
7,1950,2,7399,5,3,1,239000
6,1743,2,11700,6,3,1,175000
6,1152,1,14000,8,3,1,158500
5,1336,1,15750,5,2,1,157000
8,2452,2,16226,5,4,1,267000
7,1541,3,13704,5,3,1,205000
5,894,2,9800,7,3,1,149900
7,3493,3,18386,9,3,1,295000
8,2000,3,10386,5,3,1,305900
7,2243,3,13474,5,4,1,225000
6,1406,0,7920,7,3,1,89500
4,861,2,12342,5,1,1,82500
9,1944,3,12378,5,3,1,360000
6,1501,2,7685,5,3,1,165600
6,972,1,8000,6,2,1,132000
5,1118,2,7800,7,3,1,119900
7,2036,2,215245,5,3,1,375000
7,1641,2,9600,7,3,1,178000
7,1432,2,7795,5,3,1,188500
7,2353,2,13005,7,4,1,260000
8,1959,3,9000,5,3,1,270000
7,2646,3,9900,5,4,1,260000
7,1472,2,14115,5,3,1,187500
9,2596,3,16259,5,4,1,342643
8,2468,3,12099,5,4,1,354000
7,2730,2,10380,5,4,1,301000
3,1163,1,5820,8,3,1,126175
7,2978,2,11275,7,5,1,242000
5,803,2,5000,6,2,1,87000
8,1719,2,10846,5,1,1,324000
6,1383,1,11600,5,3,1,145250
6,2134,2,11888,6,5,1,214500
5,1192,1,6402,5,3,1,78000
5,1728,1,10624,4,6,2,119000
5,1056,1,8176,6,3,1,139000
8,1629,3,10655,5,3,1,284000
7,1358,2,8198,5,2,1,207000
6,1638,2,9042,5,3,1,192000
5,1786,2,164660,6,3,1,228950
9,1922,3,14157,5,3,1,377426
7,1536,2,9135,5,3,1,214000
7,1621,2,14145,7,3,1,202500
6,1215,1,12400,7,3,1,155000
8,1908,2,14191,5,4,1,202900
4,841,1,8400,4,2,1,82000
3,1040,2,8544,4,2,2,87500
9,1684,2,8849,5,2,1,266000
5,1112,1,2592,3,3,1,85000
6,1577,1,6435,5,3,1,140200
6,958,1,12772,8,2,1,151500
6,1478,2,17600,5,3,1,157500
7,1626,2,2448,5,2,1,154000
9,2728,3,20431,5,4,1,437154
9,1869,2,7820,5,2,1,318061
7,1453,2,5271,5,2,1,190000
5,1111,1,9084,6,3,1,95000
6,720,2,8520,8,2,1,105900
6,1595,1,8400,5,2,1,140000
6,1200,2,11249,5,3,1,177500
6,1167,2,9248,6,3,1,173000
5,1142,2,4224,5,3,1,134000
5,1352,1,6930,4,3,1,130000
8,1924,2,12011,5,3,1,280000
6,912,2,7540,6,2,1,156000
5,1505,1,9144,5,3,1,145000
7,1922,2,7301,5,4,1,198500
6,987,1,1680,8,2,1,118000
6,1574,2,18800,5,3,1,190000
5,1344,1,10690,7,3,1,147000
6,1394,2,9500,5,3,1,159000
6,1431,1,9150,5,3,1,165000
5,1268,1,7800,6,2,1,132000
5,1287,2,9830,7,3,1,162000
6,1664,2,8121,5,3,1,172400
4,1588,2,17120,4,4,1,134432
6,752,1,7175,5,2,1,125000
5,1319,1,10634,6,3,1,123000
7,1928,2,8200,5,4,1,219500
1,904,0,10020,1,1,1,61000
5,914,2,8846,5,2,1,148000
8,2466,2,11143,5,4,1,340000
9,1856,3,11394,2,1,1,394432
6,1800,2,8123,5,3,1,179000
5,1691,1,5000,6,3,1,127000
7,1301,2,7200,5,2,1,187750
7,1797,2,9245,5,3,1,213500
6,784,2,9000,3,2,1,76000
6,1953,2,53107,5,3,1,240000
8,1269,2,3182,5,2,1,192000
5,1184,0,8410,3,5,1,81000
6,1125,1,7200,6,3,1,125000
7,1479,2,9382,5,3,1,191000
10,2332,3,12474,5,3,1,426000
5,1367,1,8405,8,4,1,119000
6,1961,2,12209,5,3,1,215000
5,882,1,8339,7,3,1,106500
4,788,0,7446,5,2,1,100000
5,1034,1,10134,6,2,1,109000
5,1144,1,9571,6,3,1,129000
5,894,2,7200,5,2,1,123000
5,1812,1,7590,5,4,1,169500
5,1077,1,8967,2,2,1,67000
7,1550,2,8125,5,2,1,241000
8,1288,2,14963,5,1,1,245500
7,1310,2,8767,5,3,1,164990
5,672,1,10200,8,2,1,108000
8,2263,2,12090,5,4,1,258000
6,1572,2,10364,5,3,1,168000
4,1620,2,9991,4,3,1,150000
6,1639,1,10480,5,3,1,115000
6,1680,1,15576,7,4,1,177000
7,2172,3,14154,5,3,1,280000
8,2078,3,10800,5,3,1,339750
5,1276,1,9571,3,3,1,60000
5,1056,2,34650,5,3,1,145000
7,1478,2,4403,5,2,1,222000
5,1028,2,8960,6,2,1,115000
7,2097,3,11228,5,3,1,228000
7,1340,2,8899,5,3,1,181134
6,1400,2,7844,7,3,1,149500
6,2624,3,22420,6,4,1,239000
5,1134,1,8160,6,3,1,126000
5,1056,1,8450,6,3,1,142000
7,1344,4,7060,5,2,2,206300
6,1602,2,16635,7,3,1,215000
5,988,2,21750,5,2,1,113000
8,2630,3,9200,5,4,1,315000
6,1196,1,9000,5,2,1,139000
7,1389,1,3378,8,3,1,135000
7,1644,2,12800,5,2,1,275000
4,907,1,8593,6,3,1,109008
7,1208,2,6762,5,2,1,195400
6,1412,2,11457,5,3,1,175000
6,987,1,1680,5,2,1,85400
6,1198,0,5586,7,4,1,79900
5,1365,2,1920,5,2,1,122500
6,1604,2,10839,5,3,1,181000
4,630,0,1890,7,1,1,81000
7,1661,2,10667,6,3,1,212000
6,1118,2,4400,8,2,1,116000
6,904,1,6000,7,2,1,119000
5,694,1,4280,6,2,1,90350
6,1196,2,12354,8,3,1,110000
10,2402,3,15431,5,2,1,555000
4,1440,0,12108,4,4,2,118000
5,1573,2,6240,7,3,1,162900
7,1258,3,3922,5,2,1,172500
7,1908,2,8750,5,4,1,210000
6,1689,2,9855,5,3,1,127500
6,1888,2,16492,6,2,1,190000
7,1886,2,11214,5,4,1,199900
6,1376,1,8600,6,3,1,119500
3,1183,1,6000,7,2,1,120000
6,813,1,5684,8,2,1,110000
7,1533,2,70761,5,2,1,280000
6,1756,2,9303,5,3,1,204000
8,1590,2,9000,5,3,1,210000
5,1728,2,9297,5,4,2,188000
7,1242,2,9600,6,3,1,175500
5,1344,3,4571,5,4,1,98000
4,1663,2,53227,6,2,1,256000
8,1666,1,5100,7,3,1,161000
5,1203,1,7015,4,3,1,110000
8,1935,2,8004,5,3,1,263435
7,1135,2,7200,9,3,1,155000
5,864,1,8281,5,3,1,62383
6,1660,1,11988,7,3,1,188700
5,1040,0,8430,5,3,1,124000
7,1414,2,3072,5,2,1,178740
7,1277,2,10628,5,2,1,167000
5,1644,1,9480,7,3,1,146500
8,1634,3,11428,5,3,1,250000
6,1710,2,9291,5,3,1,187000
8,1502,2,6820,5,1,1,212000
7,1969,2,11952,6,3,1,190000
6,1072,2,3675,5,2,1,148000
8,1976,3,14977,5,2,1,440000
8,1652,2,5330,5,2,1,251000
5,970,2,8480,6,2,1,132500
6,1493,2,13125,5,3,1,208900
9,2643,3,13693,5,3,1,380000
8,1718,3,10637,5,3,1,297000
4,1131,2,5925,7,2,1,89471
9,1850,3,16033,5,3,1,326000
9,1792,3,11846,5,2,1,374000
7,1826,1,2500,8,4,1,155000
6,1216,2,4500,5,2,1,164000
5,999,1,7758,7,3,1,132500
5,1113,1,9600,7,3,1,147000
5,1073,2,10289,7,3,1,156000
5,1484,2,12243,6,3,1,175000
5,2414,2,10800,4,3,2,160000
4,630,1,1526,8,1,1,86000
5,1304,1,2665,6,3,1,115000
6,1578,1,9490,7,3,1,133000
6,1456,2,15578,5,3,1,172785
5,1269,1,7931,6,3,1,155000
5,886,1,5784,8,2,1,91300
4,720,0,7879,5,2,1,34900
8,3228,2,12692,5,4,1,430000
7,1820,1,9120,6,4,1,184000
5,899,1,7800,7,3,1,130000
5,912,1,7535,7,2,1,120000
6,1218,1,1890,5,3,1,113000
7,1768,2,9803,5,3,1,226700
5,1214,2,9170,7,2,1,140000
7,1801,2,15602,8,1,1,289000
6,1322,2,2308,5,3,1,147000
5,1960,2,7596,5,4,2,124500
8,1911,2,9554,5,3,1,215000
6,1218,2,7862,5,2,1,208300
7,1378,2,9600,9,3,1,161000
5,1041,1,9600,6,3,1,124500
5,1363,1,14559,7,2,1,164900
7,1368,2,6792,5,2,1,202665
5,864,2,9100,5,3,1,129900
6,1080,2,9187,5,3,1,134000
5,789,1,10594,5,2,1,96500
10,2020,3,12220,5,3,1,402861
6,2119,2,10448,6,3,1,158000
7,2344,3,10208,5,3,1,265000
6,1796,2,9531,5,3,1,211000
7,2080,1,10918,9,3,1,234000
4,1294,0,10800,7,3,2,106250
6,1244,1,11988,6,3,1,150000
6,1664,2,5000,7,3,1,159000
10,4676,3,40094,5,3,1,184750
7,2398,3,11787,5,3,1,315750
7,1266,2,7500,5,3,1,176000
5,928,1,13300,7,2,1,132000
9,2713,3,14948,5,3,1,446261
4,605,0,9098,7,2,1,86000
6,2515,2,32668,3,4,2,200624
6,1509,2,10200,5,3,1,175000
6,1362,2,6155,8,3,1,128000
5,827,1,7200,7,2,1,107500
1,334,0,5000,3,1,1,39300
8,1414,2,9056,5,3,1,178000
5,1347,0,7000,7,3,1,107500
7,1724,2,8924,5,3,1,188000
4,864,2,12735,5,3,1,111250
5,1159,1,11553,5,3,1,158000
8,1601,2,11423,5,3,1,272000
9,1838,3,14601,5,2,1,315000
8,2285,3,11000,5,4,1,248000
7,1680,2,10140,5,3,1,213250
7,767,1,4058,5,1,1,133000
7,1496,2,17104,5,3,1,179665
7,2183,3,13837,5,4,1,229000
6,1635,2,8737,7,3,1,210000
5,768,2,7244,7,2,1,129500
5,825,2,8235,7,2,1,125000
7,2094,2,9375,5,4,1,263000
6,1069,2,4043,6,2,1,140000
5,928,1,6000,6,3,1,112500
8,1717,3,11146,5,3,1,255500
4,1126,2,8777,5,2,1,108000
7,2046,3,10625,5,3,1,284000
5,1048,1,6380,6,2,1,113000
5,1092,1,14850,5,2,1,141000
4,1336,1,11040,6,3,1,108000
7,1446,2,21872,5,3,1,175000
7,1557,2,3196,5,2,1,234000
5,1392,2,11341,6,3,1,121500
5,1389,2,10010,5,2,1,170000
5,996,0,13907,6,3,1,108000
6,1674,2,21780,7,4,1,185000
7,2295,2,13346,5,4,1,268000
6,1647,1,6858,4,4,1,128000
9,2504,3,11198,5,4,1,325000
7,1535,2,10171,5,3,1,214000
8,2132,2,12327,8,1,1,316600
5,943,2,7032,5,2,1,135960
5,1728,2,13101,5,6,2,142600
6,864,1,7332,6,2,1,120000
7,1692,2,13159,5,3,1,224500
7,1430,2,9967,5,3,1,170000
5,1109,1,10500,7,3,1,139000
5,1216,1,8480,5,2,1,118500
7,1477,1,6292,7,3,1,145000
5,1320,2,11777,6,3,1,164500
7,1392,2,3604,5,2,1,146000
5,1795,1,12150,5,4,1,131500
6,1429,2,14585,6,3,1,181900
8,2042,3,12704,5,3,1,253293
6,816,0,11841,5,3,1,118500
10,2775,2,13500,9,3,1,325000
4,1573,1,6120,7,3,1,133000
8,2028,3,11443,5,2,1,369900
6,838,1,10267,7,2,1,130000
5,860,2,8740,6,2,1,137000
5,1473,1,25095,8,1,1,143000
5,935,1,9100,6,2,1,79500
7,1582,2,8320,5,3,1,185900
10,2296,3,13478,5,3,1,451950
5,816,2,6600,8,2,1,138000
6,848,2,4435,5,1,1,140000
5,924,1,7990,6,3,1,110000
8,1826,3,11302,5,3,1,319000
6,1368,1,3600,7,3,1,114504
7,1402,3,3922,5,2,1,194201
5,1647,2,12984,6,3,1,217500
6,1556,2,1950,6,3,1,151000
8,1904,2,10927,5,3,1,275000
6,1375,1,9000,6,3,1,141000
8,1915,2,10041,5,3,1,220000
7,1200,2,3182,5,2,1,151000
7,1494,2,12803,5,3,1,221000
7,1986,2,13600,6,3,1,205000
5,1040,2,12464,5,3,1,152000
5,2008,1,7800,8,3,1,225000
8,3194,2,12168,6,4,1,359100
4,1029,1,7943,5,3,1,118500
9,2153,3,11050,5,3,1,313000
6,1032,2,10395,6,3,1,148000
8,1872,2,11885,5,3,1,261500
5,1120,0,8402,5,3,1,147000
4,630,0,1491,6,1,1,75500
6,1054,2,8800,7,3,1,137500
6,1509,2,7861,5,3,1,183200
6,832,2,7227,6,2,1,105500
9,1828,3,11694,5,3,1,314813
8,2262,3,12244,5,4,1,305000
3,864,0,8248,3,2,1,67000
6,2614,2,10800,7,4,1,240000
5,980,2,7064,6,3,1,135000
6,1512,2,2117,5,2,1,168500
6,1790,2,10400,5,4,1,165150
6,1116,2,10000,6,3,1,160000
5,1422,1,12342,5,3,1,139900
6,1520,1,9600,6,3,1,153000
5,2080,2,11606,5,5,1,135000
6,1350,2,9020,5,3,1,168500
5,1750,1,9000,6,3,1,124000
8,1554,2,4590,5,2,1,209500
7,1411,2,11900,5,3,1,82500
5,1056,1,9250,7,3,1,139400
6,1056,2,6979,5,0,2,144000
6,3395,0,10896,7,8,2,200000
2,800,0,6120,3,1,1,60000
5,1387,1,6000,4,3,2,93000
5,796,0,8777,7,2,1,85000
8,1567,3,3982,5,1,1,264561
8,1518,2,12677,5,1,1,274000
7,1929,2,7050,5,3,1,226000
8,2704,2,13860,7,4,1,345000
5,1620,2,10793,5,4,1,152000
9,1766,3,9187,5,2,1,370878
6,981,2,10530,5,3,1,143250
5,1048,2,7200,5,3,1,98300
6,1094,2,10452,5,3,1,155000
6,1839,2,7700,5,4,1,155000
4,630,0,1936,6,1,1,84500
7,1665,2,8125,6,3,1,205950
4,1510,1,9084,5,4,1,108000
7,1716,2,8750,5,2,1,191000
6,1469,1,10320,7,3,1,135000
8,2113,3,10437,6,2,1,350000
6,1092,1,1680,5,3,1,88000
5,1053,1,10007,7,3,1,145500
7,1502,1,7200,6,3,1,149000
6,1458,1,17503,5,3,1,97500
5,1486,2,9937,7,3,1,167000
7,1935,2,12384,7,3,1,197900
8,2448,3,46589,7,4,1,402000
6,1392,2,13560,3,2,1,110000
4,1181,2,10012,5,3,1,137500
8,2097,3,20896,5,1,1,423000
8,1936,2,11194,5,3,1,230500
6,2380,2,18450,5,3,1,129000
6,1679,2,8125,5,3,1,193500
5,1437,2,14175,6,3,1,168000
4,1180,1,11600,5,2,1,137500
6,1476,2,8633,5,3,1,173500
6,1369,1,6629,6,3,1,103600
6,1208,2,11250,6,3,1,165000
6,1839,2,14442,7,3,1,257500
6,1136,1,9200,6,3,1,140000
6,1441,2,2289,6,3,1,148500
4,1774,3,9600,2,4,2,87000
5,792,1,9022,8,2,1,109500
8,2046,3,11844,5,3,1,372500
5,988,2,9945,5,3,1,128500
6,923,1,8012,5,2,1,143000
5,1520,1,4500,5,3,1,159434
6,1291,2,2887,5,2,1,173000
9,1668,3,11248,5,3,1,285000
7,1839,2,16770,5,4,1,221000
7,2090,2,5062,5,3,1,207500
7,1761,2,10207,6,3,1,227875
7,1102,2,5105,5,2,1,148800
8,1419,2,8089,6,2,1,392000
6,1362,2,7577,5,2,1,194700
6,848,2,4426,5,1,1,141000
10,4316,3,21535,6,4,1,755000
7,2519,2,26178,5,4,1,335000
5,1073,1,5400,6,2,1,108480
5,1539,2,6120,6,3,1,141500
6,1137,2,13811,6,2,1,176000
5,616,1,6000,7,2,1,89000
5,1148,1,6420,7,2,1,123500
5,894,1,8450,8,3,1,138500
7,1391,2,4282,5,2,1,196000
8,1800,3,14331,5,3,1,312500
7,1164,2,9600,5,3,1,140000
8,2576,3,12438,5,4,1,361919
5,1812,2,7630,9,4,2,140000
7,1484,2,8400,5,3,1,213000
4,1092,0,5600,5,3,2,55000
7,1824,2,115149,5,2,1,302000
8,1324,2,6240,5,2,1,254000
7,1456,2,9018,5,3,1,179540
5,904,1,7162,7,3,1,109900
3,729,0,4130,6,2,1,52000
4,1178,1,8712,7,2,1,102776
8,1228,2,4671,5,2,1,189000
4,960,2,9873,5,3,1,129000
6,1479,2,13517,8,3,1,130500
6,1350,2,10140,5,3,1,165000
7,2554,2,10800,8,3,1,159500
5,1178,2,10000,6,3,1,157000
7,2418,3,10542,5,3,1,341000
5,971,1,9920,6,3,1,128500
8,1742,2,6563,5,2,1,275000
6,848,2,4426,5,1,1,143000
4,864,2,8120,7,3,1,124500
4,1470,1,8172,6,4,1,135000
9,1698,3,13286,5,3,1,320000
4,864,2,6960,6,3,1,120500
6,1680,2,21695,9,3,1,222000
7,1232,2,7314,5,2,1,194500
5,1776,3,11475,5,4,2,110000
4,1208,2,6240,5,2,1,103000
8,1616,2,5389,5,2,1,236500
7,1146,2,9590,5,3,1,187500
7,2031,2,11404,5,3,1,222500
5,1144,1,10000,6,3,1,131400
5,948,1,8978,5,3,1,108000
7,1768,2,10800,7,2,1,163000
3,1040,2,8544,4,2,2,93500
